	winner	score
4268	Border	148.0
4269	Eastern Province	141.0
4270	Northerns	119.0
4271	Western Province	185.0
4281	KwaZulu-Natal	116.0
4284	Boland	138.0
4285	KwaZulu-Natal Inland	134.0
4288	South Western Districts	138.0
4290	Gauteng	127.0
4292	South Western Districts	110.0
4296	Border	138.0
4298	Free State	139.0
4300	North West	188.0
4302	Bangladesh	78.0
4304	Ireland	164.0
4305	Netherlands	152.0
4306	Afghanistan	154.0
4307	Bangladesh	132.0
4314	India	131.0
4318	India	130.0
4323	England	190.0
4335	India	176.0
4342	Maharashtra	124.0
4344	Delhi	135.0
4349	Odisha	119.0
4350	Madhya Pradesh	87.0
4352	Goa	152.0
4354	Delhi	123.0
4361	Railways	118.0
4363	Hyderabad (India)	141.0
4364	Baroda	82.0
4365	Haryana	123.0
4370	Bengal	153.0
4372	Delhi	178.0
4376	Delhi	142.0
4378	Andhra	77.0
4379	Baroda	142.0
4382	Kerala	159.0
4387	Rajasthan	159.0
4388	Delhi	145.0
4389	Haryana	148.0
4393	Goa	151.0
4397	Baroda	97.0
4399	Goa	117.0
4400	Gujarat	110.0
4409	Baroda	105.0
4416	Goa	181.0
4423	Royal Challengers Bangalore	116.0
4431	Chennai Super Kings	142.0
4432	Rajasthan Royals	71.0
4434	Delhi Daredevils	126.0
4436	Kings XI Punjab	127.0
4440	Mumbai Indians	170.0
4442	Royal Challengers Bangalore	158.0
4455	Chennai Super Kings	149.0
4458	Kolkata Knight Riders	142.0
4464	Sunrisers Hyderabad	161.0
4465	Kolkata Knight Riders	156.0
4472	Kolkata Knight Riders	161.0
4473	Kings XI Punjab	119.0
4474	Mumbai Indians	195.0
4476	Chennai Super Kings	176.0
4478	Kolkata Knight Riders	200.0
4480	Udarata Rulers	144.0
4491	Khyber Pakhtunkhwa	146.0
4495	Guyana Amazon Warriors	140.0
4496	Trinidad & Tobago Red Steel	125.0
4501	Guyana Amazon Warriors	118.0
4505	Trinidad & Tobago Red Steel	180.0
4506	Barbados Tridents	130.0
4509	Trinidad & Tobago Red Steel	137.0
4510	Jamaica Tallawahs	91.0
4512	Jamaica Tallawahs	138.0
4515	St Lucia Zouks	108.0
4519	Antigua Hawksbills	114.0
4520	Guyana Amazon Warriors	194.0
4522	Jamaica Tallawahs	158.0
4531	Sussex	172.0
4536	Gloucestershire	113.0
4539	Northamptonshire	179.0
4542	Essex	195.0
4547	Worcestershire	138.0
4548	Yorkshire	128.0
4550	Glamorgan	179.0
4552	Surrey	121.0
4553	Hampshire	146.0
4561	Warwickshire	147.0
4565	Worcestershire	107.0
4573	Surrey	149.0
4575	Essex	163.0
4577	Middlesex	155.0
4578	Warwickshire	136.0
4581	Worcestershire	134.0
4585	Essex	157.0
4590	Gloucestershire	154.0
4595	Surrey	137.0
4596	Derbyshire	193.0
4597	Sussex	110.0
4599	Durham	129.0
4602	Surrey	156.0
4611	Essex	166.0
4620	Northamptonshire	192.0
4622	Warwickshire	176.0
4627	Sussex	153.0
4628	Surrey	137.0
4630	Leicestershire	120.0
4637	Gloucestershire	186.0
4643	Durham	199.0
4644	Glamorgan	110.0
4652	Surrey	144.0
4665	FATA Cheetas	140.0
4673	Hyderabad Hawks	154.0
4674	Multan Tigers	164.0
4684	Abbottabad Falcons	86.0
4685	Faisalabad Wolves	146.0
4686	Bahawalpur Stags	141.0
4688	Islamabad Leopards	132.0
4695	Northern Districts	96.0
4696	Lahore Lions	139.0
4698	Mumbai Indians	165.0
4707	Kolkata Knight Riders	153.0
4710	Kolkata Knight Riders	153.0
4720	Barbados Tridents	138.0
4721	Kolkata Knight Riders	141.0
4723	Chennai Super Kings	185.0
4724	Australia	97.0
4727	Australia	102.0
4728	Australia	146.0
4733	Hong Kong	73.0
4739	Canterbury	116.0
4741	Canterbury	114.0
4744	Wellington	171.0
4757	Wellington	111.0
4758	Otago	142.0
4760	Central Districts	122.0
4761	Auckland	156.0
4765	Northern Districts	136.0
4767	Auckland	146.0
4771	Lions	173.0
4773	Cape Cobras	130.0
4779	Knights	140.0
4781	Warriors	143.0
4783	Lions	130.0
4787	Warriors	149.0
4794	Dolphins	122.0
4797	Cape Cobras	135.0
4804	Adelaide Strikers	149.0
4805	Sydney Sixers	155.0
4814	Melbourne Renegades	118.0
4815	Adelaide Strikers	141.0
4817	Hobart Hurricanes	209.0
4823	Perth Scorchers	137.0
4825	Melbourne Stars	154.0
4829	Melbourne Renegades	81.0
4834	Melbourne Stars	182.0
4835	Sydney Sixers	155.0
4838	Perth Scorchers	148.0
4839	Griqualand West	112.0
4845	Boland	138.0
4850	KwaZulu-Natal Inland	102.0
4859	Griqualand West	107.0
4860	Easterns	212.0
4865	Northerns	162.0
4869	Himachal Pradesh	112.0
4873	Gujarat	162.0
4878	Delhi	162.0
4880	Andhra	94.0
4896	Andhra	111.0
4898	Karnataka	65.0
4901	Punjab	124.0
4914	Andhra	151.0
4922	Karnataka	118.0
4925	Railways	141.0
4927	Andhra	123.0
4929	Gujarat	79.0
4933	Gujarat	128.0
4938	Odisha	144.0
4939	Gujarat	152.0
4941	Andhra	162.0
4942	Hyderabad (India)	154.0
4944	Punjab	102.0
4947	Gujarat	123.0
4948	Colts Cricket Club	143.0
4958	Sinhalese Sports Club	190.0
4960	Badureliya Sports Club	124.0
4961	Colts Cricket Club	141.0
4964	Sri Lanka Ports Authority Cricket Club	85.0
4975	Colombo Cricket Club	160.0
4976	Nondescripts Cricket Club	165.0
4985	Colombo Cricket Club	113.0
4986	Ragama Cricket Club	91.0
4988	Sri Lanka Air Force Sports Club	136.0
4990	Badureliya Sports Club	139.0
4993	Bangladesh	143.0
5002	Peshawar Panthers	147.0
5007	Lahore Lions	105.0
5009	Kolkata Knight Riders	170.0
5017	Rajasthan Royals	165.0
5023	Rajasthan Royals	157.0
5038	Kolkata Knight Riders	169.0
5039	Delhi Daredevils	119.0
5041	Royal Challengers Bangalore	115.0
5047	Mumbai Indians	153.0
5052	Kolkata Knight Riders	184.0
5057	Delhi Daredevils	120.0
5067	Chennai Super Kings	140.0
5069	Pakistan	173.0
5070	Pakistan	176.0
5087	St Lucia Zouks	150.0
5088	Barbados Tridents	98.0
5092	Jamaica Tallawahs	164.0
5094	Guyana Amazon Warriors	150.0
5097	Trinidad & Tobago Red Steel	124.0
5098	St Kitts and Nevis Patriots	139.0
5099	Jamaica Tallawahs	159.0
5109	Guyana Amazon Warriors	112.0
5113	Guyana Amazon Warriors	118.0
5117	Scotland	110.0
5119	Ireland	128.0
5121	Nepal	122.0
5122	Afghanistan	168.0
5129	Netherlands	125.0
5132	Namibia	116.0
5134	Ireland	54.0
5138	Scotland	142.0
5142	Hong Kong	110.0
5144	Scotland	139.0
5150	Jersey	107.0
5156	Ireland	123.0
5161	Afghanistan	128.0
5163	Afghanistan	130.0
5171	South Africa	152.0
5174	Gloucestershire	179.0
5175	Lancashire	142.0
5176	Nottinghamshire	142.0
5180	Yorkshire	131.0
5183	Leicestershire	164.0
5191	Leicestershire	124.0
5194	Worcestershire	149.0
5197	Derbyshire	128.0
5205	Somerset	173.0
5214	Northamptonshire	167.0
5229	Kent	174.0
5233	Worcestershire	139.0
5241	Warwickshire	136.0
5251	Nottinghamshire	175.0
5253	Surrey	155.0
5259	Surrey	106.0
5265	Worcestershire	128.0
5267	Middlesex	110.0
5272	Sussex	165.0
5273	Yorkshire	194.0
5274	Derbyshire	150.0
5276	Northamptonshire	115.0
5277	Gloucestershire	117.0
5281	Northamptonshire	156.0
5286	Essex	151.0
5298	Yorkshire	148.0
5303	Northamptonshire	135.0
5307	Larkana Region	142.0
5311	Lahore Region Blues	101.0
5318	Lahore Region Blues	150.0
5319	Bahawalpur Region	153.0
5321	Hyderabad Region	190.0
5324	Lahore Region Whites	169.0
5330	Multan Region	133.0
5341	Karachi Region Blues	182.0
5343	Abbottabad Region	198.0
5346	Abbottabad Region	152.0
5350	Hyderabad Region	160.0
5352	Peshawar Region	170.0
5356	Easterns	109.0
5359	Northerns	118.0
5365	Boland	135.0
5367	North West	168.0
5370	Northern Cape	140.0
5374	Free State	130.0
5376	Free State	134.0
5377	Gauteng	158.0
5382	Northerns	107.0
5390	Bangladesh	136.0
5392	United Arab Emirates	134.0
5395	Hong Kong	155.0
5414	Cape Cobras	152.0
5416	Titans	150.0
5420	Cape Cobras	144.0
5427	Dolphins	146.0
5433	Titans	161.0
5436	Central Districts	146.0
5438	Central Districts	135.0
5441	Otago	140.0
5444	Otago	78.0
5452	Canterbury	134.0
5453	Northern Districts	173.0
5456	Central Districts	158.0
5467	Rangpur Riders	188.0
5468	Dhaka Dynamites	112.0
5471	Comilla Victorians	177.0
5474	Comilla Victorians	90.0
5477	Comilla Victorians	84.0
5481	Rangpur Riders	113.0
5482	Barisal Bulls	159.0
5486	Comilla Victorians	142.0
5487	Sylhet Super Stars	62.0
5488	Rangpur Riders	136.0
5489	Comilla Victorians	106.0
5493	Sylhet Super Stars	162.0
5494	Barisal Bulls	141.0
5496	Barisal Bulls	137.0
5500	Comilla Victorians	157.0
5504	England Lions	119.0
5509	New Zealand	147.0
5514	Mumbai	95.0
5515	Rajasthan	133.0
5517	Delhi	214.0
5520	Kerala	129.0
5531	Jharkhand	150.0
5535	Assam	133.0
5536	Gujarat	134.0
5540	Mumbai	128.0
5542	Delhi	160.0
5543	Jharkhand	121.0
5544	Kerala	113.0
5553	Madhya Pradesh	104.0
5565	Punjab	100.0
5567	Karnataka	106.0
5570	Assam	147.0
5572	Himachal Pradesh	173.0
5574	Jharkhand	132.0
5577	Kerala	139.0
5581	Gujarat	99.0
5588	Baroda	168.0
5593	Kerala	164.0
5596	Gujarat	146.0
5598	Baroda	153.0
5602	New Zealand	171.0
5604	Bangladesh	166.0
5614	Sri Lanka Ports Authority Cricket Club	149.0
5620	Nondescripts Cricket Club	129.0
5626	Tamil Union Cricket and Athletic Club	132.0
5634	Sinhalese Sports Club	186.0
5641	Bloomfield Cricket and Athletic Club	151.0
5647	Moors Sports Club	104.0
5649	Sri Lanka Army	166.0
5650	Tamil Union Cricket and Athletic Club	182.0
5661	Perth Scorchers	118.0
5663	Sydney Thunder	121.0
5666	Adelaide Strikers	182.0
5668	Melbourne Stars	163.0
5669	Perth Scorchers	114.0
5670	Brisbane Heat	189.0
5673	Melbourne Stars	126.0
5680	Adelaide Strikers	146.0
5686	Melbourne Stars	140.0
5691	Hong Kong	72.0
5696	Colombo Commandos	163.0
5697	Hambantota Troopers	117.0
5699	Galle Guardians	130.0
5700	Kurunegala Warriors	146.0
5702	Galle Guardians	181.0
5704	Kandy Crusaders	156.0
5707	Galle Guardians	125.0
5708	Colombo Commandos	147.0
5709	Ireland	97.0
5712	Mashonaland Eagles	154.0
5715	Matabeleland Tuskers	151.0
5717	Mountaineers	128.0
5722	Mashonaland Eagles	125.0
5728	India	84.0
5731	South Africa	135.0
5732	South Africa	172.0
5734	Karachi Kings	131.0
5736	Quetta Gladiators	153.0
5739	Quetta Gladiators	139.0
5741	Islamabad United	169.0
5748	Islamabad United	131.0
5752	Islamabad United	151.0
5754	Islamabad United	115.0
5756	Islamabad United	175.0
5757	North Island	127.0
5760	Afghanistan	168.0
5767	India	85.0
5769	Pakistan	131.0
5770	India	142.0
5771	Bangladesh	131.0
5772	India	82.0
5773	Pakistan	151.0
5777	Free State	109.0
5780	Northerns	109.0
5782	Western Province	73.0
5784	Easterns	128.0
5787	North West	149.0
5799	KwaZulu-Natal	123.0
5803	South Africa	158.0
5811	Afghanistan	119.0
5823	England	230.0
5824	India	119.0
5827	Australia	157.0
5836	India	161.0
5837	South Africa	122.0
5838	England	159.0
5842	Kolkata Knight Riders	99.0
5846	Gujarat Lions	164.0
5847	Delhi Daredevils	113.0
5850	Kings XI Punjab	153.0
5852	Sunrisers Hyderabad	145.0
5854	Mumbai Indians	171.0
5858	Sunrisers Hyderabad	146.0
5859	Gujarat Lions	182.0
5864	Mumbai Indians	178.0
5874	Sunrisers Hyderabad	129.0
5875	Royal Challengers Bangalore	195.0
5891	Gujarat Lions	125.0
5892	Delhi Daredevils	161.0
5893	Rising Pune Supergiants	173.0
5894	Gujarat Lions	173.0
5904	England	144.0
5913	Guyana Amazon Warriors	101.0
5914	Guyana Amazon Warriors	109.0
5917	Guyana Amazon Warriors	139.0
5919	Jamaica Tallawahs	132.0
5927	St Lucia Zouks	162.0
5935	Guyana Amazon Warriors	150.0
5943	Kent	200.0
5949	Northamptonshire	197.0
5956	Worcestershire	174.0
5959	Somerset	181.0
5960	Glamorgan	143.0
5962	Northamptonshire	147.0
5963	Derbyshire	123.0
5965	Warwickshire	155.0
5966	Nottinghamshire	185.0
5967	Leicestershire	123.0
5970	Somerset	189.0
5971	Worcestershire	170.0
5975	Sussex	143.0
5983	Gloucestershire	160.0
5991	Somerset	136.0
5996	Glamorgan	114.0
6000	Essex	136.0
6004	Northamptonshire	152.0
6013	Sussex	147.0
6016	Gloucestershire	152.0
6022	Leicestershire	164.0
6027	Nottinghamshire	128.0
6029	Durham	147.0
6032	Derbyshire	170.0
6034	Kent	181.0
6036	Worcestershire	166.0
6037	Durham	153.0
6039	Nottinghamshire	162.0
6045	Middlesex	200.0
6048	Surrey	154.0
6050	Glamorgan	156.0
6059	Gloucestershire	162.0
6066	Northamptonshire	135.0
6085	Lahore Blues	143.0
6087	Karachi Whites	179.0
6096	Karachi Whites	143.0
6105	Lahore Blues	129.0
6110	Pakistan	116.0
6112	Pakistan	108.0
6115	North West	135.0
6120	Border	129.0
6132	Boland	144.0
6143	Rangpur Riders	125.0
6144	Rangpur Riders	45.0
6151	Barisal Bulls	167.0
6162	Rangpur Riders	129.0
6171	Comilla Victorians	145.0
6172	Chittagong Vikings	135.0
6174	Comilla Victorians	125.0
6176	Comilla Victorians	142.0
6177	Dhaka Dynamites	135.0
6195	Titans	186.0
6202	Warriors	153.0
6205	Dolphins	171.0
6206	Warriors	94.0
6211	Cape Cobras	152.0
6213	Warriors	217.0
6219	Warriors	138.0
